iterations,vectorsize,algorithm,time
100,1000000,__gnu_parallel::partition,0.123146
100,1000000,ppartition,0.160048
100,1000000,std::partition,0.933777
100,10000000,__gnu_parallel::partition,1.16682
100,10000000,ppartition,1.47801
100,10000000,std::partition,9.54398
100,100000000,__gnu_parallel::partition,11.4809
100,100000000,ppartition,14.6185
100,100000000,std::partition,71.021

100,1000000,__gnu_parallel::sort,1.37933
100,1000000,pquicksort,1.84677
100,1000000,std::sort,8.9126
100,10000000,__gnu_parallel::sort,15.3981
100,10000000,pquicksort,19.2801
100,10000000,std::sort,76.4423
100,100000000,__gnu_parallel::sort,171.916
100,100000000,pquicksort,210.276
100,100000000,std::sort,805.264

100,1000000,__gnu_parallel::nth_element,0.173941
100,1000000,pquickselect,0.231461
100,1000000,std::nth_element,0.944187
100,10000000,__gnu_parallel::nth_element,1.5335
100,10000000,pquickselect,1.80334
100,10000000,std::nth_element,9.64041
100,100000000,__gnu_parallel::nth_element,13.6035
100,100000000,pquickselect,15.9404
100,100000000,std::nth_element,71.2339
